,subject,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,Q15 - Parent Topics,Q15 - Topics,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
968,SSS2v0184,21,No,in-ear headphones,8-9,Other (please specify below):,,,,SONA for course credit,Korean,No,Male,,0,1,"Yes, but not so well",Clarinet,Strongly Agree,Strongly Agree,Finger tapping for major and minor notes,2021-12-07 18:05:12,40625
969,SSS2v0185,21,No,headphones in-ear,3-5,Chinese (Mandarin),,,,SONA for course credit,,No,,,6,2-3,No,,Agree,Agree,,2021-12-07 18:01:31,41531
970,SSS2v0188,22,Yes,over the ear,middle school,Chinese (Mandarin),major to minor,,,SONA for course credit,,Yes,Male,minor to major,5,4-5,"Yes, I do alright",clarinet,Strongly Agree,Agree,none,2021-12-07 20:59:26,42282
971,SSS2v0189,18,No,earphones(airpods),18,English,How high or low the keys that were being played were.,,,SONA for course credit,,Yes,Female,,1,1,"Yes, but not so well",piano,Strongly Agree,Disagree,I did not have any strategies,2021-12-07 21:10:37,41959
972,SSS2v0190,20,No,in-ear headphones (apple airpod pros),9-12,English,,,,SONA for course credit,,No,Female,,5,2-3,"Yes, but not so well","Guitar, violin",Strongly Agree,Agree,"No strategy, I just replay the first sound over in my head and look for changes in pitch and tone",2021-12-07 22:44:19,42281
973,SSS2v0192,21,No,speaker of my laptop,5 or 6 years old,Chinese (Mandarin),,,,SONA for course credit,,No,Male,,8,9+,"Yes, I am near professional",violin,Strongly Agree,Agree,,2021-12-07 22:15:49,42028
974,SSS2v0194,18,No,in ear,,English,,,,SONA for course credit,,No,Female,,5,0,No,none,Strongly Agree,Strongly Disagree,none,2021-12-07 22:29:43,41915
975,SSS2v0195,18,No,"headphones, in ear, apple standard ",10,Chinese (Mandarin),"some tones are very different than the sample melody, however sometimes the tones are very similar and I can barely hear any differences. Or if I do hear differences, I feel uncertain about my detections.",,,SONA for course credit,,Yes,Female,,4,2-3,"Yes, but not so well",guzheng,Strongly Agree,Agree,seeing if the extra high or extra low pitched tones are the sane as the sample melody,2021-12-08 00:12:52,42086
976,SSS2v0196,19,Yes,Airpods pro,None,English,Just spikes in pitch,,,SONA for course credit,,Yes,Male,Just something that disturbed my focus,5,0,"Yes, I do alright",Guitar for fun,Strongly Agree,Agree,Just by ear,2021-12-08 00:02:19,42034
977,SSS2v0197,20,No,headphones,"7-8, 15-16",English,,,,SONA for course credit,,No,Female,,2,2-3,"Yes, but not so well",ukelele,Strongly Agree,Agree,none,2021-12-07 23:34:16,41662
978,SSS2v0198,19,No,in-ear headphones,4-12,Chinese (Mandarin),higher or lower tone,,,SONA for course credit,,Yes,Female,,2,6-8,"Yes, but not so well",piano,Strongly Agree,Strongly Agree,count the notes that sound different,2021-12-08 00:02:48,42301
979,SSS2v0201,21,No,Headphones,12-18,English,,,,SONA for course credit,,No,Male,,2,1,"Yes, but not so well",drums,Strongly Agree,Agree,tones,2021-12-08 00:33:14,40957
980,SSS2v0202,18,No,in ear headphones,11-18,English,,,,SONA for course credit,,No,Female,,7,9+,"Yes, I am near professional",piano,Agree,Strongly Agree,i didnt have one ,2021-12-08 06:12:08,41043
981,SSS2v0204,19,No,"headphones, in-ear",11-16,English,,,,SONA for course credit,,No,Female,,5,4-5,"Yes, I do alright","Clarinet, piano, flute, cello",Strongly Agree,Neither Agree nor Disagree,I listened for specific notes that were off.,2021-12-08 03:05:53,42359
982,SSS2v0205,22,No,,,Chinese (Mandarin),,,,SONA for course credit,,No,Male,,3,1,"Yes, but not so well",,Neither Agree nor Disagree,Agree,,2021-12-10 01:58:42,39658
983,SSS2v0206,21,No,speaker,6,Chinese (Mandarin),,,,SONA for course credit,,No,Female,,3,1,"Yes, but not so well",piano,Agree,Disagree,,2021-12-08 04:27:27,42045
984,SSS2v0207,19,No,"yes, in ear",5-15,English,certain sharp or flat moments,,,SONA for course credit,,Yes,Female,,7,9+,"Yes, but not so well",piano,Agree,Neither Agree nor Disagree,patterning/tone change,2021-12-08 08:21:45,42126
985,SSS2v0208,21,No,"In-ear, Samsung Galaxy buds +",,English,,,,SONA for course credit,,No,Male,,2,0,No,,Strongly Agree,Disagree,Changes in pitch,2021-12-08 08:59:42,39268
986,SSS2v0209,21,No,"over the ear, beats solo 3",6 to 14,English,notes (sharps and flats),,,SONA for course credit,,Yes,Female,,8,6-8,"Yes, I do alright","piano, flute, ukulele",Strongly Agree,Agree,listening for differences in specific notes,2021-12-08 11:05:11,42165
987,SSS2v0210,19,No,airpods pro,8-11,English,low or high notes,,,SONA for course credit,,Yes,Female,,6,2-3,No,,Strongly Agree,Disagree,tried to match the outlier notes,2021-12-08 10:39:22,41458
988,SSS2v0211,19,No,airpods,,English,,,,SONA for course credit,,No,Female,,0,0,No,,Strongly Agree,Agree,,2021-12-09 15:54:22,42318
989,SSS2v0213,21,No,in-ear earphones,10-13,Chinese (Mandarin),sometimes there is one key that is very different from the test stimuli (suddenly very high / very low),,,SONA for course credit,,Yes,Female,,7,2-3,"Yes, I do alright",piano and Chinese flute,Strongly Agree,Agree,The feeling (e.g. playfulness) and the melody themselves ,2021-12-08 13:46:23,40947
990,SSS2v0217,20,No,I used air pods,6-18,English,There were certain melody comparisons that either started on the second note of the original or were off pitch entirely,,,SONA for course credit,,Yes,Male,,7,6-8,"Yes, but not so well","Saxophone, Tabla, Singing",Agree,Neither Agree nor Disagree,Rhythm of tonal change and pitch,2021-12-08 16:31:33,41469
991,SSS2v0219,20,Yes,in-ear headphones. Apple airpods pro,12,English,Low notes that felt out of place in a high melody.,,,SONA for course credit,,Yes,Male,The melodies eventually included both low and high notes.,3,1,"Yes, but not so well",Guitar,Strongly Agree,Agree,Visualizing steps,2021-12-08 17:12:27,38643
992,SSS2v0220,21,Yes,Over the ear,13-18,English,While the base note remained the same the alternate note changed,,,SONA for course credit,,Yes,Male,Later on in the assignment the base note was changed aswell,7,4-5,"Yes, I do alright",Guitar,Strongly Agree,Agree,Base Notation,2021-12-08 17:39:33,41919
993,SSS2v0222,19,No,headphones,12,Spanish,,,,SONA for course credit,,No,Female,,5,1,"Yes, I do alright",piano,Strongly Agree,Neither Agree nor Disagree,i tried to sing along,2021-12-08 19:35:41,42036
994,SSS2v0224,19,No,airpods,5-13,English,,,,SONA for course credit,,No,Female,,6,6-8,"Yes, but not so well",piano,Strongly Agree,Agree,i tried to remember when the pitch changes patterns (e.g. goes from increasing to decreasing),2021-12-08 20:54:05,41281
995,SSS2v0225,22,No,headphones over ear,0,English,,,,SONA for course credit,,No,Male,,1,0,No,na,Neither Agree nor Disagree,Neither Agree nor Disagree,na,2021-12-08 23:22:47,40627
996,SSS2v0227,19,No,In-ear,7-13,Chinese (Mandarin),,,,SONA for course credit,,No,Female,,5,2-3,"Yes, but not so well",Chinese Lute,Strongly Agree,Strongly Agree,,2021-12-08 23:26:10,42314
997,SSS2v0229,19,No,airpods,,English,,,,SONA for course credit,,No,Female,,0,0,No,,Strongly Agree,Strongly Disagree,,2021-12-08 23:14:19,42101
998,SSS2v0230,22,No,sony mdr-x10,4-16,English,,,,SONA for course credit,,No,Female,,10,9+,"Yes, I am near professional","violin, piano, flute, guitar",Agree,Agree,keys,2021-12-08 23:50:57,42352
999,SSS2v0234,19,No,I used headphones (earpods),14-18,English,The keys changed and the volume of the sounds changed,,,SONA for course credit,,Yes,Female,,4,2-3,"Yes, but not so well",guitar,Agree,Disagree,my hands and counting the beats. I also listened to the key,2021-12-09 00:42:21,42002
1000,SSS2v0235,21,No,in ear ear buds,,English,,,,SONA for course credit,,No,Female,,6,0,No,,Strongly Agree,Agree,tone,2021-12-09 03:42:11,41193
1001,SSS2v0236,20,No,,,English,,,,SONA for course credit,,No,Female,,3,0,No,,Strongly Agree,Disagree,,2021-12-09 11:04:28,40604
1002,SSS2v0240,19,No,"Yes, in-ear, airpods",,English,,,,SONA for course credit,,No,Female,,1,0,No,,Strongly Agree,Strongly Agree,Singing lyrics in my head,2021-12-09 15:08:45,42063
1003,SSS2v0241,17,No,In-ear; AirPods First Generation,,English,Yes I based my discriminations on specific features of the melodies such as if the note was a higher or lower pitch as well as whether or not the options were shorter or longer in length than the test melody.,,,SONA for course credit,,Yes,Female,,0,0,No,,Strongly Agree,Agree,The general strategy I used to judge the similarity across the melodies was listening attentively to hear a difference between the melodies (ex: higher or lower pitch; a longer or shorter note),2021-12-09 16:06:05,41829
1004,SSS2v0246,20,No,Airpod pro,,Other (please specify below):,,,,SONA for course credit,Korean,No,Female,,1,0,"Yes, but not so well",Flute,Agree,Strongly Agree,"I tried my best to memorize the test melody in my head, and then compare it to the other two melodies.",2021-12-10 16:08:35,42149
1005,SSS2v0247,19,No,over the ear bose qc35 headphones,3-19,English,there were different notes,,,SONA for course credit,,Yes,Male,,10,9+,"Yes, I am near professional",cello,Agree,Agree,chopping the samples into sections,2021-12-09 17:27:43,41985
1006,SSS2v0248,18,No,in ear headphones,,English,,,,SONA for course credit,,No,Female,,1,0,"Yes, I do alright",guitar,Strongly Agree,Disagree,,2021-12-09 18:43:36,42017
1007,SSS2v0249,23,No,"in-ear, apple wired earpods","10-11, 13-14",Other (please specify below):,I based it on specific notes that sounded a little bit off tune,,,SONA for course credit,Korean,Yes,Female,,3,2-3,"Yes, but not so well","piano, flute",Strongly Agree,Strongly Agree,tried to memorize general melody of the test sound ,2021-12-09 18:45:45,37422
1008,SSS2v0253,18,No,in ear,,Other (please specify below):,,,,SONA for course credit,wolof,No,Female,,0,0,No,,Strongly Agree,Agree,,2021-12-09 20:58:30,41946
1009,SSS2v0254,18,No,Hyperx headphones ,6-13,Chinese (Mandarin),listening closely and feeling,,,SONA for course credit,,Yes,Female,,7,6-8,"Yes, but not so well","clarinet, piano, recorder",Agree,Disagree,,2021-12-09 20:59:51,42046
1010,SSS2v0255,20,No,speakers,10,English,,,,SONA for course credit,,No,Female,,10,9+,"Yes, I am a professional",vocal,Strongly Agree,Agree,pitch,2021-12-09 20:57:38,42334
1011,SSS2v0256,20,No,HyperX over-the-ear headphones,,English,,,,SONA for course credit,,No,Male,,5,0,"Yes, but not so well",Steel Drums,Agree,Strongly Agree,"Comparing the melody played with the first option and deciding whether they were the same, then based on that I then would either look for differences in the first option and the second option to confirm that the melody played was more different from the first than it was the second.",2021-12-10 00:54:34,41745
1012,SSS2v0257,21,No,apple airpods pro,10-14,English,,,,SONA for course credit,,No,Female,,6,4-5,No,,Agree,Neither Agree nor Disagree,compared option 1 and 2 together,2021-12-09 22:20:45,39020
1013,SSS2v0258,20,,in-ear headphones,13,English,different pitches and tones changed and i just assumed that it meant a change in the sounds,,,SONA for course credit,,Yes,Female,,3,1,"Yes, I do alright",viola and clarinet,Strongly Agree,Agree,no,2021-12-10 02:04:49,37972
1014,SSS2v0259,21,No,"yes, steelseries headphones",12-13,English,,,,SONA for course credit,,No,Male,,5,1,"Yes, but not so well",cello,Strongly Agree,Agree,,2021-12-10 02:18:34,41009
1015,SSS2v0260,20,No,"Used headphones, over the ear",13-17,English,Specific off key notes,,,SONA for course credit,,Yes,Female,,6,2-3,"Yes, but not so well",FLute,Agree,Strongly Agree,Tried to listen for off key notes and count (counting didn't work very well),2021-12-09 23:35:38,40241
1016,SSS2v0261,18,No,,,Spanish,,,,SONA for course credit,,No,Female,,5,0,No,,Strongly Agree,Strongly Disagree,closing my eyes,2021-12-09 23:23:21,41852
1017,SSS2v0262,20,No,headphones,16,Other (please specify below):,,,,SONA for course credit,Arabic,No,Female,,6,2-3,No,,Agree,Agree,brain memory,2021-12-09 23:49:21,42173
1018,SSS2v0263,21,Yes,headphones (airpods),10,Chinese (Mandarin),"At the later rounds, it became more difficult to tell, but I went off slight note changes in the middle of each melody",,,SONA for course credit,,Yes,Male,"It was around block 4, I started to realize many of the melodies had similar beginnings and ends, therefore I had to pay more attention to the middle.",6,9+,"Yes, I do alright",Piano,Agree,Disagree,I just relied on my ear,2021-12-10 05:27:20,41840
1019,SSS2v0264,21,No,Open back over-the-ear headphones: AKG 7KXX,On and off from 12 to 16,English,,,,SONA for course credit,,No,Male,,5,2-3,"Yes, but not so well","Percussion, Piano",Strongly Agree,Strongly Agree,Tried to see if notes were 'out of key',2021-12-09 23:57:33,41001
1020,SSS2v0265,18,No,apple airpod pros,,English,,,,SONA for course credit,,No,Female,,6,0,,,Strongly Agree,Agree,,2021-12-10 00:04:37,41678
1021,SSS2v0266,19,No,Airpods Pro,,English,How the melodies bounced back and forth ,,,SONA for course credit,,Yes,Male,,3,0,No,,Strongly Agree,Strongly Agree,Listen to the end and make bouncing patterns in my head,2021-12-10 00:07:03,39914
1022,SSS2v0267,20,No,Airpods  in-ear,10-13,English,,,,SONA for course credit,,No,Male,,5,2-3,"Yes, I do alright",Piano,Strongly Agree,Agree,"Detecting high notes, seeing if they are different",2021-12-10 09:46:42,42090
1023,SSS2v0268,20,No,"over-the-ear, crusher evo skullcandy headphones",,English,,,,SONA for course credit,,No,Other,,4,0,No,,Strongly Agree,Disagree,Try to listen for changes in pitch,2021-12-10 00:21:36,39672
1024,SSS2v0269,19,Yes,"headphones, noise canceling, over the ear",4-19,English,"sometimes there would be a note that sounded off in one of the options. like if the test sound was in a major key, then all of a sudden the test sound had a note that didn't belong to that key. I noticed notes that didn't seem like they belonged. sort of like clashing",,,SONA for course credit,,Yes,Female,sometimes there wasn't clashing but rather I noticed a note that was higher or lower than anything that was in the test sound,8,9+,"Yes, I do alright","piano, vocals, flute, electric bass",Strongly Agree,Agree,"i try to find which direction the melody is going, like if the notes are going up or down and try to remember the pattern",2021-12-10 00:31:09,41717
1025,SSS2v0271,21,No,in-ear headphones,14-18,Chinese (Mandarin),,,,SONA for course credit,,No,Female,,8,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,feeling,2021-12-10 00:54:31,42033
1026,SSS2v0276,19,No,I used in-ear AirPod 2's,1st Grade to 11th Grade,English,,,,SONA for course credit,,No,Male,,9,9+,"Yes, I do alright","Violin, Piano, Voice, Ukulele",Strongly Agree,Neither Agree nor Disagree,Just hear when the melody went up or down in notes,2021-12-10 02:59:48,41955
1027,SSS2v0280,18,No,"Yes, over-ear headphones",7-9,English,,,,SONA for course credit,,No,Female,,4,2-3,"Yes, but not so well","Ukulele, Piano",Agree,Strongly Agree,Checking whether the next note is supposed to go up or down,2021-12-10 03:11:23,39651
1028,SSS2v0281,21,Yes,"Yes, over-the-ear headphones",,English,,,,SONA for course credit,,No,Female,I realized there was an option for when both options seemed the same so I used that a lot after finding out,3,0,No,,Agree,Agree,,2021-12-10 03:31:33,41930
1029,SSS2v0282,18,No,Apple Airpods,4-5,English,,,,SONA for course credit,,No,Female,,3,1,No,,Strongly Agree,Disagree,I paid closer attention to the beginnings and ends of each option instead of trying to consume each entire melody and trying to judge off of an over-consumption of information,2021-12-10 03:22:51,42342
1030,SSS2v0285,20,Yes,in ear,8,English,i would see if the patterns in notes were similar or if a differnent was played,,,SONA for course credit,,Yes,Female,"sometimes i tried to see if the pattern went sharp or flat, changing in progression ",9,9+,"Yes, I am near professional",2,Agree,Neither Agree nor Disagree,different patterns in progression or different notes played,2021-12-10 04:41:39,42048
1031,SSS2v0287,18,No,SPEAKERS,14,Chinese (Mandarin),A SOUND THAT DO NOT FIT THE MELODY,,,SONA for course credit,,Yes,Female,,3,2-3,"Yes, but not so well",CELLO,Strongly Agree,Agree,NO STRANGE SOUND,2021-12-10 06:00:20,41928
1032,SSS2v0288,19,No,in-ear,11-12,English,,,,SONA for course credit,,No,Female,,1,1,No,,Agree,,I just tried to listen for anything that stood out in the comparison ,2021-12-10 08:07:38,41776
1033,SSS2v0290,19,No,"earphones, Apple AirPods 2nd generation",,Spanish,I paid attention to the endings and how many beats each melody had.,,,SONA for course credit,,Yes,Female,,5,0,No,,Strongly Agree,Agree,,2021-12-10 09:01:26,42050
1034,SSS2v0296,20,No,in-ear,,English,,,,SONA for course credit,,No,Male,,6,0,"Yes, but not so well",piano,Strongly Agree,Disagree,listening,2021-12-13 15:03:56,42211
1035,SSS2v0299,22,No,,,Chinese (Mandarin),,,,SONA for course credit,,No,Female,,2,1,"Yes, but not so well",piano,Disagree,Agree,no,2021-12-13 17:11:10,42215
1036,SSS2v0300,20,Yes,,,Chinese (Mandarin),,,,SONA for course credit,,Yes,Female,,6,0,No,,Strongly Agree,Agree,,2021-12-13 18:08:25,42328
1037,SSS2v0301,19,No,Headphones(over-the-ear),10-13,English,"Sometimes, it sounded like the notes were different in some parts",,,SONA for course credit,,Yes,Female,,2,2-3,No,,Strongly Agree,Agree,pitch and notes,2021-12-13 18:18:00,42039
